expid,peakid,year,season,route1,totmembers,smtmembers,smtdate,success,termreason,highpoint,o2used,commercial,camps,style
MAKA77101,MAKA,1977,Spring,W Face,21,0,,False,5,7000.0,False,False,2.0,
EVER77101,EVER,1977,Spring,S Col-SE Ridge,8,0,1977-05-14,False,4,8000.0,True,True,5.0,
EVER77301,EVER,1977,Autumn,S Col-SE Ridge,19,1,1977-09-15,True,1,8849.0,True,True,5.0,
DHA177301,DHA1,1977,Autumn,SSW Face (btw S Pillar & S Ridge),13,0,1977-10-09,False,10,6550.0,False,False,5.0,
TUKU77301,TUKU,1977,Autumn,,4,0,,False,11,,False,False,,
ANN377301,ANN3,1977,Autumn,NW Ridge,27,4,1977-10-23,True,1,7555.0,False,False,5.0,
ROKA77301,ROKA,1977,Autumn,SW Ridge,8,2,1977-10-10,True,1,6468.0,False,False,3.0,
MANA77301,MANA,1977,Autumn,E Ridge,5,0,1977-10-23,False,4,7600.0,False,False,2.0,
PUMO77301,PUMO,1977,Autumn,SW Ridge,6,4,1977-10-07,True,1,7138.0,False,False,3.0,
ANN177301,ANN1,1977,Autumn,N Face (Dutch Rib),11,1,1977-10-13,True,1,8091.0,True,False,5.0,
ANNS76301,ANNS,1976,Autumn,E Face,11,3,1976-11-03,True,1,7219.0,False,False,5.0,
MANA76301,MANA,1976,Autumn,NE Face,18,2,1976-10-12,True,1,8163.0,True,True,5.0,
TUKU76301,TUKU,1976,Autumn,N Ridge,14,9,1976-10-02,True,1,6920.0,False,False,3.0,
PUTH76301,PUTH,1976,Autumn,W Ridge from S,5,0,1976-10-13,False,10,6614.0,False,False,3.0,
KJRS76301,KJRS,1976,Autumn,S Spur-SE Ridge,3,1,1976-10-16,True,1,6883.0,False,False,3.0,
DHA176301,DHA1,1976,Autumn,NE Ridge,8,0,,False,13,8167.0,False,False,,
MAK276301,MAK2,1976,Autumn,NW Ridge,7,1,1976-10-13,True,1,7678.0,False,False,4.0,
EVER76301,EVER,1976,Autumn,S Col-SE Ridge,19,2,1976-10-08,True,1,8849.0,True,True,6.0,
EVER76101,EVER,1976,Spring,S Col-SE Ridge,34,2,1976-05-16,True,1,8849.0,True,True,6.0,
MAKA76102,MAKA,1976,Spring,SE Ridge,13,1,1976-05-24,True,1,8485.0,True,False,6.0,
MAKA76101,MAKA,1976,Spring,SE Buttress up; SE Ridge down,18,2,1976-05-24,True,1,8485.0,True,False,6.0,
ANN476101,ANN4,1976,Spring,S Face,7,2,1976-05-18,True,1,7525.0,False,False,3.0,
GURJ76101,GURJ,1976,Spring,SW Ridge,7,3,1976-05-05,True,1,7193.0,False,False,3.0,
DHA176101,DHA1,1976,Spring,NW Ridge,13,2,1976-05-04,False,1,8167.0,False,False,5.0,
GLAC76101,GLAC,1976,Spring,SW side,16,0,,False,10,5600.0,False,False,2.0,
LHOT76101,LHOT,1976,Spring,S Face,19,0,1976-05-09,False,4,7600.0,False,False,4.0,
